Day,gp1_1,gp1_2,gp1_3,gp1_4,gp1_5,gp1_6,gp2_1,gp2_2,gp2_3,gp2_4,gp2_5,gp2_6,gp3_1,gp3_2,gp3_3,gp3_4,gp3_5,gp3_6,gp4_1,gp4_2,gp4_3,gp4_4,gp4_5,gp4_6,gp5_1,gp5_2,gp5_3,gp5_4,gp5_5,gp5_6,gp6_1,gp6_2,gp6_3,gp6_4,gp6_5,gp6_6,gp7_1,gp7_2,gp7_3,gp7_4,gp7_5,gp7_6,gp8_1,gp8_2,gp8_3,gp8_4,gp8_5,gp8_6,gp9_1,gp9_2,gp9_3,gp9_4,gp9_5,gp9_6,gp10_1,gp10_2,gp10_3,gp10_4,gp10_5,gp10_6,gp11_1,gp11_2,gp11_3,gp11_4,gp11_5,gp11_6,gp12_1,gp12_2,gp12_3,gp12_4,gp12_5,gp12_6,gp13_1,gp13_2,gp13_3,gp13_4,gp13_5,gp13_6,gp14_1,gp14_2,gp14_3,gp14_4,gp14_5,gp14_6
22,240.24,105.65,166.04,111.03,172.33,146.82,150.77,240.53,106.04,111.25,131.05,178.13,175.77,270.14,123.6,136.64,133.96,157.54,116.88,174.9,108.74,150.79,144.15,204.94,143.7,212.84,179.83,206.78,102.96,142.93,119.52,189.53,146.08,157.08,219.55,119.09,124.76,162.35,179.85,135.83,216.25,158.81,136.72,196.02,120.6,212.14,161.37,144,121.08,239.85,136.98,190.49,120.72,137.44,218.95,154.23,115.65,118.27,133,168.07,117.66,159.21,338.34,193.67,174.86,149.91,109.96,103.31,140.93,134.78,200.24,245.09,173.38,179.34,137.81,206.33,157.29,138.56,178.45,128.42,110.44,125.22,209.78,155.14
26,257.4,125.08,202.71,140.25,200.74,217.38,222.78,242.65,152.4,190.79,193.24,230.38,177.45,240.72,103.97,127.35,171.59,158.59,109.81,125.85,92.91,107.58,116.13,175.07,158.84,179.21,169.04,185.29,134.61,153.36,120.03,214,144.18,125.98,214.04,113.69,150.67,190.44,160.86,126.03,236.64,160.68,113.95,173.35,141.45,185.43,139.28,147.13,97.94,174.62,139.97,130.93,90.27,115.95,176.42,130.74,130.65,94.38,123.55,117.49,111.14,119.75,233.94,135.31,136.89,134.73,106.39,122.07,124.9,91.29,144.88,149.03,157.44,132.77,110.31,187.72,124.14,125.42,137.6,138.77,87.31,106.5,161.27,164.52
29,269.66,231.08,305.97,203.65,328.74,281.41,274.1,306.01,229.48,206.39,238.07,257.35,140.87,154.62,80.08,96.35,104.21,81.67,16.92,52.97,65.44,33.86,103.12,86.49,94.44,102.62,62.47,72.63,77.75,87.8,134.49,160.22,133.73,124.07,203.28,93.98,114.99,125.35,136.28,99.23,204.81,105.64,74.38,115.15,97.3,74.52,95.9,86.58,80.94,78.09,53.34,77.31,56.84,90.02,97.87,48.21,53.69,51.54,57.04,52.21,55.4,70.88,140.88,71.87,80.94,74.37,67.63,48.55,68.31,85.78,68.5,77.12,104.82,59.39,70.25,111.36,72.02,110.66,91.4,75.39,36.66,60.83,60.86,114.02
33,346.43,306.1,481.85,268.37,367.54,422.82,338.95,473.58,247.08,220.41,282.49,283.26,60.04,98.35,45.8,40.3,31.07,44.96,3.01,26.65,6.66,24.62,34.79,29.07,34.49,67.86,36.23,42.59,37.92,42.74,95.75,150.13,114.41,84.23,192.64,60.57,85.29,92.51,50.9,63.78,110.15,76.64,48.64,54.19,68.69,71.25,40.01,51.17,28.3,17.67,14.1,17.78,21.82,31.83,38.19,20.51,20.77,32.74,23.44,49.31,18.02,18.62,44.1,18.01,36.48,35.3,19.12,21.9,24.85,33.41,34.45,22.54,38.36,26.67,11.73,51.03,47.75,39.15,20.91,26.35,18.49,9.3,42.35,54.61
36,378.04,364.47,513.16,272.67,446.21,465.26,392.75,550.18,276.59,305.59,320.3,341.24,43.73,76.06,56.28,49.2,19.59,27.07,5.32,10.21,8.79,10.4,7.44,6.49,15.94,29.3,15.67,17.7,18.41,44.72,77.94,162.81,155.44,83.12,121.83,47.9,18.07,67.6,54.69,45.32,96.17,58.78,39.83,46.96,29.61,30.93,25.74,36.95,10.17,16.85,5.35,31.91,13.1,23.33,27.57,13.86,23.31,18.97,15.77,29.94,2.01,8.99,57.16,14.9,5.13,25.8,9.41,7.17,17.52,10.4,8.79,22.88,24.92,21.93,12.19,40.97,31.99,27.48,3.17,6.32,15.63,11.7,1.72,24.47
40,458.92,374.4,769.01,316.28,382.29,676.2,607.05,644.96,341.08,307.61,523.5,505.26,48.03,105.94,28.63,54.45,49.09,43.05,7.88,17.59,1.29,3.43,17.25,4.9,8.39,9.21,6.46,10.45,4.06,5.64,134.35,200.26,127.52,86.52,186.57,21.87,46.31,48.97,35.46,43.24,81.83,84.02,8.99,11.75,14.97,11.94,20.22,17.75,10.63,11.09,3.53,31.08,1.69,18.63,20.25,14.23,8.32,22.11,8.69,13.5,3.27,1.31,23.22,3.38,0.53,14.19,2.13,2.09,2.87,3.88,6.24,12.28,13.1,1.43,2.63,4.7,23.88,18.63,1.52,0,1.49,2.06,0,1.52
43,612.74,595.79,973.12,479.22,643.23,992.74,760.09,936.07,426.7,439.59,731.07,640.29,76.51,136.78,34.04,23.72,53.81,34.88,2.33,4.12,0,1.2,1.59,2.41,0.78,5.11,7.53,1.26,0.61,6.74,115.78,195.68,221.51,123.04,204.48,87.18,67.98,87.39,78.23,38.81,112.4,65.19,23,8.49,34.75,8.39,30.74,34.8,2.68,2.5,1.26,5.77,2.5,3.32,7.88,15.19,3.32,3.17,2.37,3.17,0.4,0.98,6.83,10.29,3.54,4.56,2.63,2.09,1.05,0.63,5.77,3.32,12.62,0,0.86,11.44,21.71,24.3,0.44,1.26,0.01,0,0,0.76
47,693.64,954.57,1252.67,688.66,748.61,1306.19,927.64,1365.93,505.67,441.3,813.43,887.16,72.21,196.86,39.8,85.74,71.74,40.08,6.83,3.54,0.36,2.68,3.11,3.38,0.22,0.7,0.93,0,0,0.7,119.54,275.01,354.86,141.89,281.14,136.57,42.48,76.56,46.07,20.83,117.35,53.32,20.89,35.78,43.27,13.62,24.24,30.36,1.02,0,1.49,1,0.14,0,1.02,2.37,0,0,0,1.46,0,0,0.76,0.89,0,0,0.95,0,1.31,0,1.31,1.4,0.58,0,0,2.29,2.82,1.2,1.65,0,0,0.76,0,1.1
50,780.65,987.69,1446.12,660.79,1085.73,1322.22,1069.57,1494.06,566.82,509.21,863.78,1069.82,60.41,227.81,38.06,131.15,92.43,62.35,10.86,6.74,0.68,8.69,8.69,3.17,0,0.07,0.98,0,0,0.98,257.49,440.53,386.54,252.57,373.48,190.98,31.83,99.42,70.78,39.53,235.15,83.63,38.65,20.89,46.66,40.31,20.89,27.51,1.56,0.36,1.12,2.68,1.15,0,1.49,0.49,0,1.1,0,1.56,1.4,0,1.4,0.8,0,0.82,1.23,0,1.43,0.7,3.88,0.23,0.68,0,0,1.23,1.79,1.05,1.56,0,1.29,1.56,0.09,7.26
58,1002.07,1355.2,1701.34,784.94,1404.54,1553.6,1413.31,1932.98,755.15,727.34,1365.85,1107.92,69.75,437.21,63.47,284.26,131.03,72.58,27.65,119.6,57.7,93.86,152.55,91.31,3.82,0,9.1,1.93,0,2.54,361.71,701.08,421.88,510,441.09,296.06,206.39,218.35,144.24,103.18,412.37,145.13,52.46,60.15,48.82,126.79,32.48,58.93,4.63,2.59,3.94,29.8,12.32,2.05,18.91,2.96,0.67,2.37,1.1,12.84,27.59,0,33.21,6.65,0,16.69,20.38,1.34,28.22,1.9,14.47,66.84,1.69,0,0,1.43,2.37,1.59,2.05,0,1.07,1.49,0,6
